icao,name,city,state
KATL,Hartsfield-Jackson International Airport,Atlanta,GA 	
KDFW,Dallas/Fort Worth International Airport,Dallas,TX 	
KDEN,Denver International Airport,Denver,CO 	
KORD,O'Hare International Airport,Chicago,IL 	
KLAX,Los Angeles International Airport,Los Angeles,CA 	
KCLT,Charlotte Douglas International Airport,Charlotte,NC
KIAH ,George Bush Intercontinental Airport,Houston,TX 	 
KPHX,Phoenix Sky Harbor International Airport,Phoenix,AZ 	
KMCO,Orlando International Airport,Orlando,FL
KSEA,Seattle–Tacoma International Airport,Seattle,WA 	
KMIA,Miami International Airport,Miami,FL 	
KFLL,Fort Lauderdale–Hollywood International Airport,Fort Lauderdale,FL 	
KSFO,San Francisco International Airport,San Francisco,CA 	
KJFK,John F. Kennedy International Airport,New York City,NY
KMSP,Minneapolis–Saint Paul International Airport,Minneapolis,MN 
KEWR,Newark Liberty International Airport,Newark & New York City,NJ 
KDTW,Detroit Metropolitan Airport,Detroit,MI
KBOS,Logan International Airport,Boston,MA 	
KSLC,Salt Lake City International Airport,Salt Lake City,UT
KPHL,Philadelphia International Airport,Philadelphia,PA
KBWI,Baltimore/Washington International Airport,Baltimore,MD
KTPA,Tampa International Airport,Tampa,FL
KSAN,San Diego International Airport,San Diego,CA
KMDW,Chicago Midway International Airport,Chicago,IL0
KIAD,Washington Dulles International Airport,Washington D.C.,VA
KBNA,Nashville International Airport,Nashville,TN 	
KLGA,LaGuardia Airport,New York,NY 
KDAL,Dallas Love Field,Dallas,TX 	
KDCA,Ronald Reagan Washington National Airport,Washington D.C.,VA 	
KPDX,Portland International Airport,Portland,OR 